EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5135136,SULLIVAN (ZONE), ,02/13/2000,1700,Ice Storm, , ,0,0,0,0,NY,EST, ,1091831,Z,62,BGM,0,0,TRAINED SPOTTER, , , , , , , , ,02/14/2000,1500, , , , ,"","A strengthening storm system moved out of the Ohio Valley on Sunday the 13th and then tracked across northern Pennsylvania early on the 14th. Abundant Gulf moisture associated with this system in combination with a shallow layer of cold air at the surface produced a mixed bag of wintry precipitation over most of central New York.  Ice accumulations generally between a quarter to a half an inch were observed. There were numerous automobile accidents but no serious injuries reported. Many area schools were closed or delayed.",1
5135130,OTSEGO (ZONE), ,02/13/2000,1700,Ice Storm, , ,0,0,0,0,NY,EST, ,1091831,Z,46,BGM,0,0,TRAINED SPOTTER, , , , , , , , ,02/14/2000,1500, , , , ,"","A strengthening storm system moved out of the Ohio Valley on Sunday the 13th and then tracked across northern Pennsylvania early on the 14th. Abundant Gulf moisture associated with this system in combination with a shallow layer of cold air at the surface produced a mixed bag of wintry precipitation over most of central New York.  Ice accumulations generally between a quarter to a half an inch were observed. There were numerous automobile accidents but no serious injuries reported. Many area schools were closed or delayed.",2
5135131,SCHUYLER (ZONE), ,02/13/2000,1700,Ice Storm, , ,0,0,0,0,NY,EST, ,1091831,Z,23,BGM,0,0,TRAINED SPOTTER, , , , , , , , ,02/14/2000,1500, , , , ,"","A strengthening storm system moved out of the Ohio Valley on Sunday the 13th and then tracked across northern Pennsylvania early on the 14th. Abundant Gulf moisture associated with this system in combination with a shallow layer of cold air at the surface produced a mixed bag of wintry precipitation over most of central New York.  Ice accumulations generally between a quarter to a half an inch were observed. There were numerous automobile accidents but no serious injuries reported. Many area schools were closed or delayed.",3
5135140,BROOME (ZONE), ,02/13/2000,1700,Ice Storm, , ,0,0,0,0,NY,EST, ,1091831,Z,56,BGM,0,0,TRAINED SPOTTER, , , , , , , , ,02/14/2000,1500, , , , ,"","A strengthening storm system moved out of the Ohio Valley on Sunday the 13th and then tracked across northern Pennsylvania early on the 14th. Abundant Gulf moisture associated with this system in combination with a shallow layer of cold air at the surface produced a mixed bag of wintry precipitation over most of central New York.  Ice accumulations generally between a quarter to a half an inch were observed. There were numerous automobile accidents but no serious injuries reported. Many area schools were closed or delayed.",4
5135142,CHENANGO (ZONE), ,02/13/2000,1700,Ice Storm, , ,0,0,0,0,NY,EST, ,1091831,Z,45,BGM,0,0,TRAINED SPOTTER, , , , , , , , ,02/14/2000,1500, , , , ,"","A strengthening storm system moved out of the Ohio Valley on Sunday the 13th and then tracked across northern Pennsylvania early on the 14th. Abundant Gulf moisture associated with this system in combination with a shallow layer of cold air at the surface produced a mixed bag of wintry precipitation over most of central New York.  Ice accumulations generally between a quarter to a half an inch were observed. There were numerous automobile accidents but no serious injuries reported. Many area schools were closed or delayed.",5
5135143,CORTLAND (ZONE), ,02/13/2000,1700,Ice Storm, , ,0,0,0,0,NY,EST, ,1091831,Z,44,BGM,0,0,TRAINED SPOTTER, , , , , , , , ,02/14/2000,1500, , , , ,"","A strengthening storm system moved out of the Ohio Valley on Sunday the 13th and then tracked across northern Pennsylvania early on the 14th. Abundant Gulf moisture associated with this system in combination with a shallow layer of cold air at the surface produced a mixed bag of wintry precipitation over most of central New York.  Ice accumulations generally between a quarter to a half an inch were observed. There were numerous automobile accidents but no serious injuries reported. Many area schools were closed or delayed.",6
5135141,CHEMUNG (ZONE), ,02/13/2000,1700,Ice Storm, , ,0,0,0,0,NY,EST, ,1091831,Z,24,BGM,0,0,TRAINED SPOTTER, , , , , , , , ,02/14/2000,1500, , , , ,"","A strengthening storm system moved out of the Ohio Valley on Sunday the 13th and then tracked across northern Pennsylvania early on the 14th. Abundant Gulf moisture associated with this system in combination with a shallow layer of cold air at the surface produced a mixed bag of wintry precipitation over most of central New York.  Ice accumulations generally between a quarter to a half an inch were observed. There were numerous automobile accidents but no serious injuries reported. Many area schools were closed or delayed.",7
5135132,SENECA (ZONE), ,02/13/2000,1700,Ice Storm, , ,0,0,0,0,NY,EST, ,1091831,Z,16,BGM,0,0,TRAINED SPOTTER, , , , , , , , ,02/14/2000,1500, , , , ,"","A strengthening storm system moved out of the Ohio Valley on Sunday the 13th and then tracked across northern Pennsylvania early on the 14th. Abundant Gulf moisture associated with this system in combination with a shallow layer of cold air at the surface produced a mixed bag of wintry precipitation over most of central New York.  Ice accumulations generally between a quarter to a half an inch were observed. There were numerous automobile accidents but no serious injuries reported. Many area schools were closed or delayed.",8
5135133,SOUTHERN CAYUGA (ZONE), ,02/13/2000,1700,Ice Storm, , ,0,0,0,0,NY,EST, ,1091831,Z,17,BGM,0,0,TRAINED SPOTTER, , , , , , , , ,02/14/2000,1500, , , , ,"","A strengthening storm system moved out of the Ohio Valley on Sunday the 13th and then tracked across northern Pennsylvania early on the 14th. Abundant Gulf moisture associated with this system in combination with a shallow layer of cold air at the surface produced a mixed bag of wintry precipitation over most of central New York.  Ice accumulations generally between a quarter to a half an inch were observed. There were numerous automobile accidents but no serious injuries reported. Many area schools were closed or delayed.",9
5135134,SOUTHERN ONEIDA (ZONE), ,02/13/2000,1700,Ice Storm, , ,0,0,0,0,NY,EST, ,1091831,Z,37,BGM,0,0,TRAINED SPOTTER, , , , , , , , ,02/14/2000,1500, , , , ,"","A strengthening storm system moved out of the Ohio Valley on Sunday the 13th and then tracked across northern Pennsylvania early on the 14th. Abundant Gulf moisture associated with this system in combination with a shallow layer of cold air at the surface produced a mixed bag of wintry precipitation over most of central New York.  Ice accumulations generally between a quarter to a half an inch were observed. There were numerous automobile accidents but no serious injuries reported. Many area schools were closed or delayed.",10
